company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
174,한일현대시멘트,KR,,6390.0,006390,006390.KS|006390.KQ,,,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,market_cap_not_found
175,한일홀딩스,KR,,3300.0,003300,003300.KS|003300.KQ,003300.KS,492994789376,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
176,한전KPS,KR,,51600.0,051600,051600.KS|051600.KQ,051600.KS,2641500045312,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
177,한화비전,KR,,489790.0,489790,489790.KS|489790.KQ,489790.KS,3385370869760,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
178,한화생명,KR,,88350.0,088350,088350.KS|088350.KQ,088350.KS,2735060549632,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
179,한화손해보험,KR,,0370.0,000370,000370.KS|000370.KQ,000370.KS,733033463808,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
180,한화솔루션,KR,,9830.0,009830,009830.KS|009830.KQ,009830.KS,8293832458240,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
181,한화시스템,KR,,272210.0,272210,272210.KS|272210.KQ,272210.KS,19783888142336,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
182,한화에어로스페이스,KR,,12450.0,012450,012450.KS|012450.KQ,012450.KS,64053741355008,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
183,한화오션,KR,,42660.0,042660,042660.KS|042660.KQ,042660.KS,40812104646656,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
184,한화투자증권,KR,,3530.0,003530,003530.KS|003530.KQ,003530.KS,1409488257024,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
185,해성디에스,KR,,195870.0,195870,195870.KS|195870.KQ,195870.KS,1098199990272,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
186,현대건설,KR,,0720.0,000720,000720.KS|000720.KQ,000720.KS,12781068746752,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
187,현대로템,KR,,64350.0,064350,064350.KS|064350.KQ,064350.KS,23356451586048,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
188,현대모비스,KR,,12330.0,012330,012330.KS|012330.KQ,012330.KS,38394973388800,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
189,현대비앤지스틸,KR,,4560.0,004560,004560.KS|004560.KQ,004560.KS,243474268160,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
190,현대엘리베이터,KR,,17800.0,017800,017800.KS|017800.KQ,017800.KS,3700769161216,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
