Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Scoring,scoring_runs,1,scoring_run_id,BIGINT,N,PK,스코어링 실행 식별자
Scoring,,2,company_id,BIGINT,N,FK,대상 회사
Scoring,,3,period_id,BIGINT,N,FK,평가 기간
Scoring,,4,methodology_version_id,BIGINT,N,FK,방법론 버전
Scoring,,5,run_type,VARCHAR(30),N,,실행 유형
Scoring,,6,run_status,VARCHAR(30),N,,실행 상태
Scoring,,7,started_at,TIMESTAMP,Y,,실행 시작일시
Scoring,,8,finished_at,TIMESTAMP,Y,,실행 종료일시
Scoring,,9,reg_date,TIMESTAMP,N,,레코드 등록 일시
Scoring,,10,registrar,VARCHAR(100),N,,등록 주체
Scoring,,11,update_date,TIMESTAMP,Y,,최종 수정 일시
Scoring,,12,updater,VARCHAR(100),Y,,최종 수정 주체
Scoring,,13,note,TEXT,Y,,추가 메모
Scoring,variable_scores,1,variable_score_id,BIGINT,N,PK,변수 점수 식별자
Scoring,,2,scoring_run_id,BIGINT,N,FK,스코어링 실행
Scoring,,3,variable_id,BIGINT,N,FK,변수
Scoring,,4,raw_value_json,JSONB,Y,,원 입력값/중간값
Scoring,,5,normalized_score,"NUMERIC(12,8)",Y,,정규화 점수
Scoring,,6,weighted_score,"NUMERIC(12,8)",Y,,가중 반영 점수
Scoring,,7,calc_trace_json,JSONB,Y,,계산 추적 정보
Scoring,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Scoring,,9,registrar,VARCHAR(100),N,,등록 주체
Scoring,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Scoring,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Scoring,,12,note,TEXT,Y,,추가 메모
Scoring,category_scores,1,category_score_id,BIGINT,N,PK,카테고리 점수 식별자
Scoring,,2,scoring_run_id,BIGINT,N,FK,스코어링 실행
Scoring,,3,category_id,BIGINT,N,FK,카테고리
Scoring,,4,category_raw_score,"NUMERIC(12,8)",Y,,카테고리 원점수
Scoring,,5,category_weighted_score,"NUMERIC(12,8)",Y,,카테고리 가중 점수
